id;date;client_name;client_contact;sub_total;vat;total_amount;discount;grand_total;paid;due;payment_type;payment_status;status
1;2023-05-14;monitor;synthesize Technicien Lorraine;69947;Équateur;77186;49140;Laffitte online;true;circuit Account Outdoors;CARD;ADVANCE;synergize
2;2023-05-13;Rial Îles Cotton;Cotton;95773;Éthiopie Small generate;67523;26851;neutral SDD des;false;Bedfordshire;CHEQUE;FULL;proactive Practical impactful
3;2023-05-13;Hryvnia;Cambridgeshire;15935;Shoes c;68075;82880;Games Grocery;true;b even-keeled;CARD;FULL;Lats quantifying
4;2023-05-13;Rustic d'Assas object-oriented;ADP methodical;8661;Granite Bacon Tasty;18225;11686;rich;false;cohesive Denar Account;CHEQUE;FULL;Industrial overriding SDR
5;2023-05-14;gold XML quantifying;Biélorussie b;33075;programming;26667;29553;Networked;false;Administrateur Lorraine local;CACHE;NONE;b
6;2023-05-13;Table;Lorraine;54470;Account analyzing;55368;47006;Awesome withdrawal;true;Stand-alone Money input;CARD;ADVANCE;COM
7;2023-05-14;Analyste Tasty;Ingenieur;92045;Unbranded programming;67901;59139;Solomon Home;false;connecting;CACHE;FULL;Account Small
8;2023-05-14;De-engineered withdrawal;expedite COM;2984;Sausages Metal Languedoc-Roussillon;19401;84103;Russie ADP markets;false;innovative applications;CACHE;NONE;b
9;2023-05-13;Île-de-France c bypassing;Pastourelle navigate;83022;c;87128;27577;repurpose Handcrafted Account;true;sexy Multi-tiered;CARD;ADVANCE;local withdrawal Russie
10;2023-05-13;Tunisie CSS;visionary wireless;97906;Incredible multi-tasking Health;27681;99035;network;false;paradigms Lorraine challenge;CARD;ADVANCE;Shirt invoice Grocery
